Year,Projected Population
2012,22721995
2013,23119257
2014,23524055
2015,23940552
2016,24359761
2017,24781121
2018,25201317
2019,25619895
2020,26037356
2021,26452147
2022,26866209
2023,27279046
2024,27690209
2025,28099273
2026,28505871
2027,28909776
2028,29311467
2029,29710682
2030,30107276
2031,30501192
2032,30891992
2033,31279725
2034,31664507
2035,32046518
2036,32426009
2037,32803245
2038,33178476
2039,33551974
2040,33923997
2041,34294733
2042,34664395
2043,35033159
2044,35401158
2045,35768470
2046,36135078
2047,36500971
2048,36866073
2049,37230321
2050,37593636
2051,37955917
2052,38317102
2053,38677154
2054,39036004
2055,39393623
2056,39749997
2057,40105126
2058,40459020
2059,40811695
2060,41163126
2061,41513375
2062,41860222
2063,42203789
2064,42544199
2065,42881576
2066,43216052
2067,43547768
2068,43876836
2069,44203321
2070,44527233
2071,44848529
2072,45167152
2073,45483049
2074,45796179
2075,46106544
2076,46414196
2077,46719245
2078,47021856
2079,47322229
2080,47620581
2081,47917125
2082,48212058
2083,48505542
2084,48797708
2085,49088666
2086,49378501
2087,49667260
2088,49954946
2089,50241523
2090,50526932
2091,50811103
2092,51093951
2093,51375376
2094,51655268
2095,51933523
2096,52210047
2097,52484755
2098,52757577
2099,53028459
2100,53297373
2101,53564333